team_id,url_for_year,Season,Lg,Team,GP,W,L,T,OL,PTS,PTS%,SRS,SOS,Finish,Playoffs,Coaches,date_index,won_stanley_cup
BUF,http://www.hockey-reference.com/teams/BUF/1997.html,1996-97,NHL,Buffalo Sabres,82,40,30,12,0,92,.561,0.31,-0.04,1st,Lost NHL Conference Semi-Finals,T. Nolan,01/01/1996,0
BUF,http://www.hockey-reference.com/teams/BUF/1996.html,1995-96,NHL,Buffalo Sabres,82,33,42,7,0,73,.445,-0.16,0.03,5th,,T. Nolan,01/01/1995,0
BUF,http://www.hockey-reference.com/teams/BUF/1995.html,1994-95,NHL,Buffalo Sabres,48,22,19,7,0,51,.531,0.20,-0.03,4th,Lost NHL Conference Quarter-Finals,J. Muckler,01/01/1994,0
BUF,http://www.hockey-reference.com/teams/BUF/1994.html,1993-94,NHL,Buffalo Sabres,84,43,32,9,0,95,.565,0.72,-0.04,4th,Lost NHL Conference Quarter-Finals,J. Muckler,01/01/1993,0
BUF,http://www.hockey-reference.com/teams/BUF/1993.html,1992-93,NHL,Buffalo Sabres,84,38,36,10,0,86,.512,0.41,-0.04,4th,Lost NHL Division Finals,J. Muckler,01/01/1992,0
BUF,http://www.hockey-reference.com/teams/BUF/1992.html,1991-92,NHL,Buffalo Sabres,80,31,37,12,0,74,.463,-0.16,-0.03,3rd,Lost NHL Division Semi-Finals,R. Dudley,01/01/1991,0
BUF,http://www.hockey-reference.com/teams/BUF/1991.html,1990-91,NHL,Buffalo Sabres,80,31,30,19,0,81,.506,0.08,-0.09,3rd,Lost NHL Division Semi-Finals,R. Dudley,01/01/1990,0
BUF,http://www.hockey-reference.com/teams/BUF/1990.html,1989-90,NHL,Buffalo Sabres,80,45,27,8,0,98,.613,0.42,-0.05,2nd,Lost NHL Division Semi-Finals,R. Dudley,01/01/1989,0
BUF,http://www.hockey-reference.com/teams/BUF/1989.html,1988-89,NHL,Buffalo Sabres,80,38,35,7,0,83,.519,-0.04,0.06,3rd,Lost NHL Division Semi-Finals,T. Sator,01/01/1988,0
BUF,http://www.hockey-reference.com/teams/BUF/1988.html,1987-88,NHL,Buffalo Sabres,80,37,32,11,0,85,.531,-0.22,0.06,3rd,Lost NHL Division Semi-Finals,T. Sator,01/01/1987,0
